eventId,eventType,timestamp,entityType,entityId,actorType,details
1,REQUEST_CREATED,2026-08-01T07:37:00Z,SERVICE_REQUEST,18,DISPATCH_OPERATOR,Request 18 created.
2,REQUEST_ASSIGNED,2026-08-01T09:14:00Z,SERVICE_REQUEST,35,DISPATCH_OPERATOR,Request 35 assigned.
3,REQUEST_STATUS_CHANGED,2026-08-01T10:51:00Z,SERVICE_REQUEST,52,DISPATCH_OPERATOR,Request 52 status changed.
4,RESOURCE_STATUS_CHANGED,2026-08-01T12:28:00Z,RESOURCE,29,SYSTEM,Resource 29 status changed.
5,ROAD_BLOCK_UPDATED,2026-08-01T14:05:00Z,ROAD,56,DISPATCH_OPERATOR,Road 56 blockage status updated.
6,UNDO_ACTION,2026-08-01T15:42:00Z,SERVICE_REQUEST,103,DISPATCH_OPERATOR,Undo action recorded for request 103.
7,REQUEST_CREATED,2026-08-01T17:19:00Z,SERVICE_REQUEST,120,DISPATCH_OPERATOR,Request 120 created.
8,REQUEST_ASSIGNED,2026-08-01T18:56:00Z,SERVICE_REQUEST,137,SYSTEM,Request 137 assigned.
9,REQUEST_STATUS_CHANGED,2026-08-01T20:33:00Z,SERVICE_REQUEST,154,DISPATCH_OPERATOR,Request 154 status changed.
10,RESOURCE_STATUS_CHANGED,2026-08-01T22:10:00Z,RESOURCE,11,DISPATCH_OPERATOR,Resource 11 status changed.
11,ROAD_BLOCK_UPDATED,2026-08-01T23:47:00Z,ROAD,22,DISPATCH_OPERATOR,Road 22 blockage status updated.
12,UNDO_ACTION,2026-08-02T01:24:00Z,SERVICE_REQUEST,205,SYSTEM,Undo action recorded for request 205.
13,REQUEST_CREATED,2026-08-02T03:01:00Z,SERVICE_REQUEST,222,DISPATCH_OPERATOR,Request 222 created.
14,REQUEST_ASSIGNED,2026-08-02T04:38:00Z,SERVICE_REQUEST,239,DISPATCH_OPERATOR,Request 239 assigned.
15,REQUEST_STATUS_CHANGED,2026-08-02T06:15:00Z,SERVICE_REQUEST,256,DISPATCH_OPERATOR,Request 256 status changed.
16,RESOURCE_STATUS_CHANGED,2026-08-02T07:52:00Z,RESOURCE,23,SYSTEM,Resource 23 status changed.
17,ROAD_BLOCK_UPDATED,2026-08-02T09:29:00Z,ROAD,88,DISPATCH_OPERATOR,Road 88 blockage status updated.
18,UNDO_ACTION,2026-08-02T11:06:00Z,SERVICE_REQUEST,7,DISPATCH_OPERATOR,Undo action recorded for request 7.
19,REQUEST_CREATED,2026-08-02T12:43:00Z,SERVICE_REQUEST,24,DISPATCH_OPERATOR,Request 24 created.
20,REQUEST_ASSIGNED,2026-08-02T14:20:00Z,SERVICE_REQUEST,41,SYSTEM,Request 41 assigned.
