resource_id,resource_type,home_location_id,capacity,availability_status,current_location_id,shift_start,shift_end
1,PATROL_OFFICER,45,1,AVAILABLE,45,06:00,14:00
2,PATROL_OFFICER,1,1,AVAILABLE,1,14:00,22:00
3,PATROL_OFFICER,25,1,AVAILABLE,25,06:00,14:00
4,PATROL_OFFICER,10,1,BUSY,34,14:00,22:00
5,PATROL_OFFICER,14,1,AVAILABLE,14,06:00,14:00
6,PATROL_OFFICER,45,1,OFF_DUTY,45,14:00,22:00
7,PATROL_OFFICER,1,1,AVAILABLE,1,06:00,14:00
8,PATROL_OFFICER,25,1,AVAILABLE,25,14:00,22:00
9,PATROL_VEHICLE,25,4,MAINTENANCE,25,06:00,14:00
10,PATROL_VEHICLE,45,4,AVAILABLE,45,14:00,22:00
11,PATROL_VEHICLE,1,4,AVAILABLE,1,06:00,14:00
12,PATROL_VEHICLE,25,4,AVAILABLE,25,14:00,22:00
13,MOTORCYCLE_PATROL,45,1,AVAILABLE,45,06:00,14:00
14,MOTORCYCLE_PATROL,1,1,BUSY,26,14:00,22:00
15,MOTORCYCLE_PATROL,25,1,AVAILABLE,25,06:00,14:00
16,MOTORCYCLE_PATROL,30,1,OFF_DUTY,30,14:00,22:00
17,AMBULANCE,3,4,AVAILABLE,3,06:00,14:00
18,AMBULANCE,34,4,AVAILABLE,34,14:00,22:00
19,FIRST_AID_TEAM,3,3,MAINTENANCE,3,06:00,14:00
20,FIRST_AID_TEAM,30,3,AVAILABLE,30,14:00,22:00
21,FIRE_RESPONSE_UNIT,4,4,AVAILABLE,4,06:00,14:00
22,FIRE_RESPONSE_UNIT,45,4,AVAILABLE,45,14:00,22:00
23,CCTV_TECHNICIAN,44,1,AVAILABLE,44,06:00,14:00
24,CCTV_TECHNICIAN,45,1,BUSY,6,14:00,22:00
25,INVESTIGATION_TEAM,45,2,AVAILABLE,45,06:00,14:00
26,INVESTIGATION_TEAM,2,2,OFF_DUTY,2,14:00,22:00
27,CROWD_CONTROL_TEAM,45,6,AVAILABLE,45,06:00,14:00
28,CROWD_CONTROL_TEAM,30,6,AVAILABLE,30,14:00,22:00
29,RAPID_RESPONSE_TEAM,45,4,MAINTENANCE,45,06:00,14:00
30,RAPID_RESPONSE_TEAM,1,4,AVAILABLE,1,14:00,22:00
