road_id,from_location_id,to_location_id,distance_km,travel_time_min,condition_weight,route_label,road_type,traffic_level,is_blocked
1,1,2,0.11,1.18,1.16,Main University Gate - Legon Police Station,MAIN_ROAD,HIGH,False
2,1,3,0.213,1.68,1.16,Main University Gate - University of Ghana Hospital,MAIN_ROAD,HIGH,False
3,1,4,0.199,1.68,1.16,Main University Gate - University of Ghana Fire Station,MAIN_ROAD,HIGH,False
4,3,4,0.119,0.63,1.08,University of Ghana Hospital - University of Ghana Fire Station,MAIN_ROAD,LOW,False
5,3,5,0.164,1.65,1.08,University of Ghana Hospital - Bush Canteen,CAMPUS_ROAD,HIGH,False
6,4,5,0.087,1.02,1.24,University of Ghana Fire Station - Bush Canteen,MAIN_ROAD,HIGH,False
7,5,33,0.272,1.88,1.0,Bush Canteen - University Basic School,CAMPUS_ROAD,HIGH,False
8,6,7,0.08,0.7,1.16,University Square - Balme Library,CAMPUS_ROAD,MODERATE,False
9,6,41,0.108,0.84,1.16,University Square - Department of Sociology,CAMPUS_ROAD,MODERATE,False
10,6,42,0.104,0.89,1.16,University Square - Careers and Counselling Centre,CAMPUS_ROAD,MODERATE,False
11,6,43,0.08,1.29,1.16,University Square - University of Ghana Bookshop,CAMPUS_ROAD,HIGH,False
12,6,44,0.139,0.75,1.16,University Square - University of Ghana Information Technology Directorate,CAMPUS_ROAD,MODERATE,False
13,6,50,0.139,0.81,1.16,University Square - University of Ghana School of Law,CAMPUS_ROAD,MODERATE,False
14,7,38,0.114,0.8,1.32,Balme Library - School of Engineering Sciences,CAMPUS_ROAD,MODERATE,False
15,7,39,0.143,0.94,1.32,Balme Library - School of Biological Sciences,CAMPUS_ROAD,MODERATE,False
16,7,43,0.08,1.23,1.32,Balme Library - University of Ghana Bookshop,CAMPUS_ROAD,HIGH,False
17,7,49,0.123,1.0,1.32,Balme Library - International Programmes Office,CAMPUS_ROAD,MODERATE,False
18,8,9,0.09,0.33,1.08,Great Hall - Central Administration,CAMPUS_ROAD,LOW,False
19,8,10,0.219,0.65,1.08,Great Hall - Commonwealth Hall,RESIDENTIAL_ROAD,LOW,False
20,8,32,0.215,0.7,1.08,Great Hall - University of Ghana Botanical Gardens,ACCESS_ROAD,LOW,False
21,9,46,0.126,0.58,1.24,Central Administration - Graduate School,CAMPUS_ROAD,LOW,False
22,10,32,0.218,0.83,1.0,Commonwealth Hall - University of Ghana Botanical Gardens,RESIDENTIAL_ROAD,LOW,False
23,11,50,0.132,0.71,1.16,Legon Hall - University of Ghana School of Law,RESIDENTIAL_ROAD,LOW,False
24,12,13,0.091,0.33,1.32,Akuafo Hall - Volta Hall,RESIDENTIAL_ROAD,LOW,False
25,12,17,0.103,0.42,1.32,Akuafo Hall - VALCO Trust Hostel,RESIDENTIAL_ROAD,LOW,False
26,12,38,0.126,0.52,1.32,Akuafo Hall - School of Engineering Sciences,RESIDENTIAL_ROAD,LOW,False
27,12,39,0.131,0.59,1.32,Akuafo Hall - School of Biological Sciences,RESIDENTIAL_ROAD,LOW,False
28,12,40,0.151,0.69,1.32,Akuafo Hall - School of Agriculture,RESIDENTIAL_ROAD,LOW,False
29,12,49,0.121,1.0,1.32,Akuafo Hall - International Programmes Office,RESIDENTIAL_ROAD,MODERATE,False
30,13,17,0.129,0.41,1.08,Volta Hall - VALCO Trust Hostel,RESIDENTIAL_ROAD,LOW,False
31,14,28,0.106,0.71,1.24,Mensah Sarbah Hall - University of Ghana Guest Centre,RESIDENTIAL_ROAD,MODERATE,False
32,14,41,0.13,0.53,1.24,Mensah Sarbah Hall - Department of Sociology,RESIDENTIAL_ROAD,LOW,False
33,14,42,0.152,0.63,1.24,Mensah Sarbah Hall - Careers and Counselling Centre,RESIDENTIAL_ROAD,LOW,False
34,15,16,0.08,0.82,1.0,Jubilee Hall - International Students' Hostel,RESIDENTIAL_ROAD,MODERATE,False
35,15,18,0.129,1.02,1.0,Jubilee Hall - Hilla Limann Hall,RESIDENTIAL_ROAD,MODERATE,False
36,15,25,0.215,1.57,1.0,Jubilee Hall - Banking Square,RESIDENTIAL_ROAD,HIGH,False
37,15,26,0.151,1.36,1.0,Jubilee Hall - Night Market,RESIDENTIAL_ROAD,HIGH,False
38,15,27,0.138,0.86,1.0,Jubilee Hall - Legon Mosque,RESIDENTIAL_ROAD,MODERATE,False
39,15,34,0.082,0.76,1.0,Jubilee Hall - Noguchi Memorial Institute for Medical Research,RESIDENTIAL_ROAD,MODERATE,False
40,16,18,0.134,0.97,1.16,International Students' Hostel - Hilla Limann Hall,RESIDENTIAL_ROAD,MODERATE,False
41,16,34,0.08,0.88,1.16,International Students' Hostel - Noguchi Memorial Institute for Medical Research,RESIDENTIAL_ROAD,MODERATE,False
42,16,35,0.127,0.71,1.16,International Students' Hostel - School of Public Health,RESIDENTIAL_ROAD,MODERATE,False
43,16,37,0.142,0.82,1.16,International Students' Hostel - School of Pharmacy,RESIDENTIAL_ROAD,MODERATE,False
44,17,46,0.08,0.43,1.32,VALCO Trust Hostel - Graduate School,RESIDENTIAL_ROAD,LOW,False
45,17,47,0.102,0.82,1.32,VALCO Trust Hostel - Dean of Students Office,RESIDENTIAL_ROAD,MODERATE,False
46,17,49,0.127,0.95,1.32,VALCO Trust Hostel - International Programmes Office,RESIDENTIAL_ROAD,MODERATE,False
47,18,19,0.08,0.88,1.08,Hilla Limann Hall - Alexander Adum Kwapong Hall,RESIDENTIAL_ROAD,MODERATE,False
48,18,20,0.094,0.62,1.08,Hilla Limann Hall - Jean Nelson Aka Hall,RESIDENTIAL_ROAD,MODERATE,False
49,18,21,0.139,0.81,1.08,Hilla Limann Hall - Elizabeth Frances Sey Hall,RESIDENTIAL_ROAD,MODERATE,False
50,18,34,0.092,0.73,1.08,Hilla Limann Hall - Noguchi Memorial Institute for Medical Research,RESIDENTIAL_ROAD,MODERATE,False
